체장(mm),체중(g),개별 사료 급이량(g)
310,293,22.857142857142858
310,378,22.857142857142858
265,189,22.857142857142858
290,241,22.857142857142858
290,206,22.857142857142858
305,258,22.857142857142858
205,74,10.0
200,62,10.0
330,324,22.857142857142858
320,363,22.857142857142858
