체장(mm),체중(g),개별 사료 급이량(g),7일 후 체장(mm),7일 후 체중(g)
315.0,332.0,28.57142857142857,345.7142857142857,374.42857142857144
320.0,338.1666666666667,28.57142857142857,346.42857142857144,379.85714285714283
325.0,344.3333333333333,28.57142857142857,347.14285714285717,385.2857142857143
330.0,350.5,28.57142857142857,347.85714285714283,390.7142857142857
335.0,356.6666666666667,28.57142857142857,348.57142857142856,396.14285714285717
340.0,362.8333333333333,28.57142857142857,349.2857142857143,401.57142857142856
345.0,369.0,28.57142857142857,350.0,407.0
345.7142857142857,374.42857142857144,28.57142857142857,352.5,416.3125
346.42857142857144,379.85714285714283,28.57142857142857,355.0,425.625
347.14285714285717,385.2857142857143,28.57142857142857,357.5,434.9375
347.85714285714283,390.7142857142857,28.57142857142857,360.0,444.25
348.57142857142856,396.14285714285717,28.57142857142857,362.5,453.5625
349.2857142857143,401.57142857142856,28.57142857142857,365.0,462.875
350.0,407.0,28.57142857142857,367.5,472.1875
352.5,416.3125,28.57142857142857,370.0,481.5
355.0,425.625,28.57142857142857,371.6666666666667,495.0833333333333
357.5,434.9375,28.57142857142857,373.3333333333333,508.6666666666667
360.0,444.25,28.57142857142857,375.0,522.25
362.5,453.5625,28.57142857142857,376.6666666666667,535.8333333333334
365.0,462.875,28.57142857142857,378.3333333333333,549.4166666666666
367.5,472.1875,28.57142857142857,380.0,563.0
