체장(mm),체중(g),개별 사료 급이량(g),7일 후 체장(mm),7일 후 체중(g)
235.0,136.0,21.91780821917808,260.0,173.0
235.0,136.0,14.598540145985401,260.0,175.57142857142858
240.0,149.0,14.507772020725389,260.0,178.14285714285714
241.25,150.75,14.640227511784643,260.0,180.71428571428572
242.5,152.5,14.772683002843898,260.0,183.28571428571428
243.75,154.25,14.905138493903152,260.0,185.85714285714286
245.0,156.0,15.037593984962406,260.0,188.42857142857144
260.0,173.0,17.142857142857142,260.0,191.0
260.0,175.57142857142858,16.83187560738581,261.25,194.75
260.0,178.14285714285714,16.52089407191448,262.5,198.5
260.0,180.71428571428572,16.20991253644315,263.92857142857144,201.35714285714286
260.0,183.28571428571428,15.898931000971816,265.35714285714283,204.21428571428572
260.0,185.85714285714286,15.587949465500484,266.7857142857143,207.07142857142858
260.0,188.42857142857144,15.276967930029153,268.2142857142857,209.92857142857142
260.0,191.0,14.965986394557822,269.64285714285717,212.78571428571428
261.25,194.75,14.782263270271612,271.07142857142856,215.64285714285714
262.5,198.5,14.598540145985401,272.5,218.5
263.92857142857144,201.35714285714286,14.661262122982116,272.7142857142857,219.14285714285714
265.35714285714283,204.21428571428572,14.723984099978832,272.92857142857144,219.78571428571428
266.7857142857143,207.07142857142858,14.786706076975547,273.14285714285717,220.42857142857142
268.2142857142857,209.92857142857142,14.849428053972261,273.35714285714283,221.07142857142858
269.64285714285717,212.78571428571428,14.912150030968975,273.57142857142856,221.71428571428572
271.07142857142856,215.64285714285714,14.974872007965692,273.7857142857143,222.35714285714286
272.5,218.5,15.037593984962406,274.0,223.0
272.7142857142857,219.14285714285714,15.084138918725385,274.2142857142857,223.64285714285714
272.92857142857144,219.78571428571428,15.130683852488364,274.42857142857144,224.28571428571428
273.14285714285717,220.42857142857142,15.177228786251343,274.64285714285717,224.92857142857142
273.35714285714283,221.07142857142858,15.223773720014321,274.85714285714283,225.57142857142858
273.57142857142856,221.71428571428572,15.2703186537773,275.07142857142856,226.21428571428572
273.7857142857143,222.35714285714286,15.31686358754028,275.2857142857143,226.85714285714286
274.0,223.0,15.363408521303258,275.5,227.5
274.2142857142857,223.64285714285714,15.409953455066237,275.7142857142857,228.14285714285714
274.42857142857144,224.28571428571428,15.456498388829216,275.92857142857144,228.78571428571428
274.64285714285717,224.92857142857142,15.503043322592195,276.14285714285717,229.42857142857142
274.85714285714283,225.57142857142858,15.549588256355173,276.35714285714283,230.07142857142858
275.07142857142856,226.21428571428572,15.596133190118152,276.57142857142856,230.71428571428572
275.2857142857143,226.85714285714286,15.642678123881131,276.7857142857143,231.35714285714286
275.5,227.5,15.68922305764411,277.0,232.0
275.7142857142857,228.14285714285714,15.735767991407089,277.2142857142857,232.64285714285714
275.92857142857144,228.78571428571428,15.782312925170068,277.42857142857144,233.28571428571428
276.14285714285717,229.42857142857142,15.828857858933047,277.64285714285717,233.92857142857144
276.35714285714283,230.07142857142858,15.875402792696026,277.85714285714283,234.57142857142858
276.57142857142856,230.71428571428572,15.921947726459006,278.07142857142856,235.21428571428572
276.7857142857143,231.35714285714286,15.968492660221985,278.2857142857143,235.85714285714286
277.0,232.0,16.015037593984964,278.5,236.5
277.2142857142857,232.64285714285714,16.06158252774794,278.7142857142857,237.14285714285714
277.42857142857144,233.28571428571428,16.10812746151092,278.92857142857144,237.78571428571428
277.64285714285717,233.92857142857144,16.1546723952739,279.14285714285717,238.42857142857144
277.85714285714283,234.57142857142858,16.20121732903688,279.35714285714283,239.07142857142858
278.07142857142856,235.21428571428572,16.247762262799856,279.57142857142856,239.71428571428572
278.2857142857143,235.85714285714286,16.294307196562837,279.7857142857143,240.35714285714286
278.5,236.5,16.340852130325814,280.0,241.0
278.7142857142857,237.14285714285714,16.387397064088795,285.0,253.66666666666666
278.92857142857144,237.78571428571428,16.433941997851772,290.0,266.3333333333333
279.14285714285717,238.42857142857144,16.480486931614752,295.0,279.0
279.35714285714283,239.07142857142858,16.52703186537773,300.0,291.6666666666667
279.57142857142856,239.71428571428572,16.57357679914071,305.0,304.3333333333333
279.7857142857143,240.35714285714286,16.620121732903687,310.0,317.0
280.0,241.0,16.666666666666668,310.3333333333333,317.8
285.0,253.66666666666666,18.555555555555557,310.6666666666667,318.6
290.0,266.3333333333333,20.444444444444446,311.0,319.4
295.0,279.0,22.333333333333336,311.3333333333333,320.2
300.0,291.6666666666667,24.22222222222222,311.6666666666667,321.0
305.0,304.3333333333333,26.11111111111111,312.0,321.8
310.0,317.0,28.0,312.3333333333333,322.6
310.3333333333333,317.8,27.712280701754388,312.6666666666667,323.4
310.6666666666667,318.6,27.424561403508772,313.0,324.2
311.0,319.4,27.13684210526316,313.3333333333333,325.0
311.3333333333333,320.2,26.849122807017544,313.6666666666667,325.8
311.6666666666667,321.0,26.56140350877193,314.0,326.6
312.0,321.8,26.273684210526316,314.3333333333333,327.4
312.3333333333333,322.6,25.985964912280703,314.6666666666667,328.2
312.6666666666667,323.4,25.698245614035088,315.0,329.0
313.0,324.2,25.410526315789475,315.4166666666667,330.0
313.3333333333333,325.0,25.12280701754386,315.8333333333333,331.0
313.6666666666667,325.8,24.835087719298247,316.25,332.0
314.0,326.6,24.54736842105263,316.6666666666667,333.0
314.3333333333333,327.4,24.25964912280702,317.0833333333333,334.0
314.6666666666667,328.2,23.971929824561407,317.5,335.0
315.0,329.0,23.68421052631579,317.9166666666667,336.0
315.4166666666667,330.0,23.751342642320086,318.3333333333333,337.0
315.8333333333333,331.0,23.818474758324385,318.75,338.0
