체장(mm),체중(g),개별 사료 급이량(g),7일 후 체장(mm),7일 후 체중(g)
345.0,480.0,29.09090909090909,359.0,541.6
347.0,488.8,28.888757279636756,361.0,550.4
349.0,497.6,28.686605468364426,363.0,559.2
351.0,506.4,28.484453657092093,365.0,568.0
353.0,515.2,28.28230184581976,367.0,576.8
355.0,524.0,28.08015003454743,369.0,585.6
357.0,532.8,27.877998223275096,371.0,594.4
359.0,541.6,27.675846412002763,373.0,603.2
361.0,550.4,27.473694600730433,375.0,612.0
363.0,559.2,27.2715427894581,376.875,615.875
365.0,568.0,27.069390978185766,378.75,619.75
367.0,576.8,26.867239166913436,380.625,623.625
369.0,585.6,26.665087355641102,382.5,627.5
371.0,594.4,26.46293554436877,384.375,631.375
373.0,603.2,26.26078373309644,386.25,635.25
375.0,612.0,26.058631921824105,388.125,639.125
376.875,615.875,26.011919369952256,390.0,643.0
378.75,619.75,25.965206818080407,393.3333333333333,645.5
380.625,623.625,25.91849426620856,396.6666666666667,648.0
382.5,627.5,25.87178171433671,400.0,650.5
384.375,631.375,25.82506916246486,403.3333333333333,653.0
386.25,635.25,25.77835661059301,406.6666666666667,655.5
388.125,639.125,25.731644058721162,410.0,658.0
390.0,643.0,25.684931506849313,410.513698630137,660.2397260273973
393.3333333333333,645.5,25.262134280399117,411.027397260274,662.4794520547945
396.6666666666667,648.0,24.839337053948924,411.541095890411,664.7191780821918
400.0,650.5,24.41653982749873,412.05479452054794,666.9589041095891
403.3333333333333,653.0,23.993742601048535,412.56849315068496,669.1986301369863
406.6666666666667,655.5,23.570945374598338,413.0821917808219,671.4383561643835
410.0,658.0,23.148148148148145,413.59589041095893,673.6780821917808
410.513698630137,660.2397260273973,23.31453129196884,414.1095890410959,675.917808219178
411.027397260274,662.4794520547945,23.480914435789533,414.6232876712329,678.1575342465753
411.541095890411,664.7191780821918,23.64729757961023,415.13698630136986,680.3972602739726
412.05479452054794,666.9589041095891,23.813680723430924,415.6506849315069,682.6369863013699
412.56849315068496,669.1986301369863,23.980063867251616,416.16438356164383,684.8767123287671
413.0821917808219,671.4383561643835,24.14644701107231,416.67808219178085,687.1164383561644
413.59589041095893,673.6780821917808,24.312830154893007,417.1917808219178,689.3561643835617
414.1095890410959,675.917808219178,24.4792132987137,417.7054794520548,691.5958904109589
414.6232876712329,678.1575342465753,24.645596442534394,418.2191780821918,693.8356164383562
415.13698630136986,680.3972602739726,24.811979586355086,418.7328767123288,696.0753424657535
415.6506849315069,682.6369863013699,24.978362730175782,419.24657534246575,698.3150684931506
416.16438356164383,684.8767123287671,25.144745873996477,419.76027397260276,700.554794520548
416.67808219178085,687.1164383561644,25.31112901781717,420.2739726027397,702.7945205479452
417.1917808219178,689.3561643835617,25.477512161637865,420.78767123287673,705.0342465753424
417.7054794520548,691.5958904109589,25.64389530545856,421.3013698630137,707.2739726027397
418.2191780821918,693.8356164383562,25.810278449279252,421.8150684931507,709.513698630137
418.7328767123288,696.0753424657535,25.976661593099948,422.32876712328766,711.7534246575342
419.24657534246575,698.3150684931506,26.143044736920643,422.8424657534247,713.9931506849315
419.76027397260276,700.554794520548,26.309427880741335,423.35616438356163,716.2328767123288
420.2739726027397,702.7945205479452,26.47581102456203,423.86986301369865,718.472602739726
420.78767123287673,705.0342465753424,26.642194168382723,424.3835616438356,720.7123287671233
421.3013698630137,707.2739726027397,26.80857731220342,424.8972602739726,722.9520547945206
421.8150684931507,709.513698630137,26.974960456024114,425.4109589041096,725.1917808219177
422.32876712328766,711.7534246575342,27.141343599844806,425.9246575342466,727.431506849315
422.8424657534247,713.9931506849315,27.3077267436655,426.43835616438355,729.6712328767123
423.35616438356163,716.2328767123288,27.474109887486197,426.95205479452056,731.9109589041095
423.86986301369865,718.472602739726,27.64049303130689,427.4657534246575,734.1506849315068
424.3835616438356,720.7123287671233,27.806876175127584,427.97945205479454,736.3904109589041
424.8972602739726,722.9520547945206,27.97325931894828,428.4931506849315,738.6301369863014
425.4109589041096,725.1917808219177,28.139642462768972,429.0068493150685,740.8698630136986
425.9246575342466,727.431506849315,28.306025606589667,429.52054794520546,743.1095890410959
426.43835616438355,729.6712328767123,28.47240875041036,430.0342465753425,745.3493150684932
426.95205479452056,731.9109589041095,28.638791894231055,430.54794520547944,747.5890410958904
427.4657534246575,734.1506849315068,28.80517503805175,431.06164383561645,749.8287671232877
427.97945205479454,736.3904109589041,28.971558181872446,431.5753424657534,752.068493150685
428.4931506849315,738.6301369863014,29.137941325693138,432.0890410958904,754.3082191780821
429.0068493150685,740.8698630136986,29.304324469513833,432.6027397260274,756.5479452054794
429.52054794520546,743.1095890410959,29.470707613334525,433.1164383561644,758.7876712328767
430.0342465753425,745.3493150684932,29.63709075715522,433.63013698630135,761.027397260274
430.54794520547944,747.5890410958904,29.803473900975916,434.14383561643837,763.2671232876712
431.06164383561645,749.8287671232877,29.96985704479661,434.6575342465753,765.5068493150685
431.5753424657534,752.068493150685,30.136240188617304,435.17123287671234,767.7465753424658
432.0890410958904,754.3082191780821,30.302623332437996,435.6849315068493,769.986301369863
432.6027397260274,756.5479452054794,30.46900647625869,436.1986301369863,772.2260273972603
433.1164383561644,758.7876712328767,30.635389620079387,436.71232876712327,774.4657534246576
433.63013698630135,761.027397260274,30.801772763900082,437.2260273972603,776.7054794520548
434.14383561643837,763.2671232876712,30.968155907720774,437.73972602739724,778.945205479452
434.6575342465753,765.5068493150685,31.13453905154147,438.25342465753425,781.1849315068494
435.17123287671234,767.7465753424658,31.300922195362162,438.7671232876712,783.4246575342465
435.6849315068493,769.986301369863,31.467305339182857,439.2808219178082,785.6643835616438
436.1986301369863,772.2260273972603,31.633688483003553,439.7945205479452,787.9041095890411
436.71232876712327,774.4657534246576,31.80007162682425,440.3082191780822,790.1438356164383
437.2260273972603,776.7054794520548,31.96645477064494,440.82191780821915,792.3835616438356
437.73972602739724,778.945205479452,32.13283791446563,441.33561643835617,794.6232876712329
438.25342465753425,781.1849315068494,32.29922105828633,441.8493150684932,796.8630136986301
438.7671232876712,783.4246575342465,32.46560420210702,442.36301369863014,799.1027397260274
439.2808219178082,785.6643835616438,32.63198734592772,442.8767123287671,801.3424657534247
439.7945205479452,787.9041095890411,32.79837048974841,443.3904109589041,803.5821917808219
440.3082191780822,790.1438356164383,32.9647536335691,443.9041095890411,805.8219178082192
440.82191780821915,792.3835616438356,33.1311367773898,444.4178082191781,808.0616438356165
441.33561643835617,794.6232876712329,33.297519921210494,444.93150684931504,810.3013698630136
441.8493150684932,796.8630136986301,33.46390306503119,445.44520547945206,812.5410958904109
442.36301369863014,799.1027397260274,33.630286208851885,445.95890410958907,814.7808219178082
442.8767123287671,801.3424657534247,33.79666935267258,446.472602739726,817.0205479452054
443.3904109589041,803.5821917808219,33.96305249649327,446.986301369863,819.2602739726027
443.9041095890411,805.8219178082192,34.129435640313964,447.5,821.5
