No,양식장,날짜,라벨,라벨2(어장_수조_샘플번호_날짜_길이_무게_사이즈),체장(mm),체중(g),수조번호,사육미수,일일폐사량,사료정보,일일 사료 급이량(KG),투약일자,약품명,투여량(ML 또는 L),투여단위,투여방법,기타사항,검출 병원체
3123,IC,221019,IC101901,F02_U01_O3123_D2022-10-19_L400_W0738_S3,400,738,신설동9,1000 ,0,생사료(MP),50,,,,,,,00000021
3124,IC,221019,IC101902,F02_U01_O3124_D2022-10-19_L445_W0751_S3,445,751,신설동10,1000 ,0,생사료(MP),50,,,,,,,00000018
3125,IC,221019,IC101903,F02_U01_O3125_D2022-10-19_L345_W0412_S2,345,412,신설동11,1000 ,0,생사료(MP),50,,,,,,,00000021
3126,IC,221019,IC101904,F02_U01_O3126_D2022-10-19_L390_W0460_S2,390,460,신설동12,1000 ,0,생사료(MP),50,,,,,,,00000021
3127,IC,221019,IC101905,F02_U01_O3127_D2022-10-19_L370_W0504_S3,370,504,신설동13,1000 ,0,생사료(MP),50,,,,,,,00000017
3128,IC,221019,IC101906,F02_U01_O3128_D2022-10-19_L435_W0860_S3,425,860,신설동14,1000 ,0,생사료(MP),50,,,,,,,00000021
3129,IC,221019,IC101907,F02_U01_O3129_D2022-10-19_L395_W0663_S3,395,663,신설동15,1000 ,0,생사료(MP),50,,,,,,,00000021
3130,IC,221019,IC101908,F02_U01_O3130_D2022-10-19_L430_W0759_S3,430,759,신설동16,1000 ,0,생사료(MP),50,,,,,,,00000021
3131,IC,221019,IC101909,F02_U01_O3131_D2022-10-19_L350_W0399_S2,350,399,신설동17,1000 ,0,생사료(MP),50,,,,,,,00000006
3132,IC,221019,IC101910,F02_U01_O3132_D2022-10-19_L320_W0253_S2,320,253,신설동18,1000 ,0,생사료(MP),50,,,,,,,00000006
3133,IC,221019,IC101911,F02_U01_O3133_D2022-10-19_L425_W0669_S3,425,669,신설동19,1000 ,0,생사료(MP),50,,,,,,,00000613
3134,IC,221019,IC101912,F02_U01_O3134_D2022-10-19_L410_W0757_S3,410,757,신설동20,1000 ,0,생사료(MP),50,,,,,,,00000021
3135,IC,221019,IC101913,F02_U01_O3135_D2022-10-19_L415_W0779_S3,415,779,신설동21,1000 ,0,생사료(MP),50,,,,,,,00000021
3136,IC,221019,IC101914,F02_U01_O3136_D2022-10-19_L370_W0648_S3,370,648,신설동22,1000 ,0,생사료(MP),50,,,,,,,00061718
3137,HM,221019,HM101901,F03_U01_O3137_D2022-10-19_L315_W0339_S2,315,339,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3138,HM,221019,HM101902,F03_U01_O3138_D2022-10-19_L310_W0294_S2,310,294,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3139,HM,221019,HM101903,F03_U01_O3139_D2022-10-19_L360_W0462_S2,360,462,A14,3600 ,5,생사료(MP),90,,,,,,,00000017
3140,HM,221019,HM101904,F03_U01_O3140_D2022-10-19_L330_W0370_S2,330,370,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3141,HM,221019,HM101905,F03_U01_O3141_D2022-10-19_L320_W0317_S2,320,317,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3142,HM,221019,HM101906,F03_U01_O3142_D2022-10-19_L330_W0378_S2,330,378,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3143,HM,221019,HM101907,F03_U01_O3143_D2022-10-19_L360_W0485_S2,360,485,A14,3600 ,5,생사료(MP),90,,,,,,,00000017
3144,HM,221019,HM101908,F03_U01_O3144_D2022-10-19_L310_W0291_S2,310,291,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3145,HM,221019,HM101909,F03_U01_O3145_D2022-10-19_L360_W0442_S2,360,442,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3146,HM,221019,HM101910,F03_U01_O3146_D2022-10-19_L270_W0180_S1,270,180,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3147,HM,221019,HM101911,F03_U01_O3147_D2022-10-19_L335_W0355_S2,335,355,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3148,HM,221019,HM101912,F03_U01_O3148_D2022-10-19_L330_W0414_S2,330,414,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3149,HM,221019,HM101913,F03_U01_O3149_D2022-10-19_L315_W0294_S2,315,294,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3150,HM,221019,HM101914,F03_U01_O3150_D2022-10-19_L320_W0346_S2,320,346,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3151,HM,221019,HM101915,F03_U01_O3151_D2022-10-19_L330_W0330_S2,330,330,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3152,HM,221019,HM101916,F03_U01_O3152_D2022-10-19_L310_W0325_S2,310,325,A14,3600 ,5,생사료(MP),90,,,,,,,00000021
3153,TP,221019,TP101901,F04_U01_O3153_D2022-10-19_L340_W0295_S2,340,295,C3,3200 ,0,생사료(MP),120,,,,,,,00000006
3154,TP,221019,TP101902,F04_U01_O3154_D2022-10-19_L360_W0418_S2,360,418,C3,3200 ,0,생사료(MP),120,,,,,,,00000006
3155,TP,221019,TP101903,F04_U01_O3155_D2022-10-19_L390_W0447_S2,390,447,C3,3200 ,0,생사료(MP),120,,,,,,,00000613
3156,TP,221019,TP101904,F04_U01_O3156_D2022-10-19_L410_W0623_S3,410,623,C4,3000 ,5,생사료(MP),100,,,,,,,00000006
3157,TP,221019,TP101905,F04_U01_O3157_D2022-10-19_L340_W0272_S2,340,272,C4,3000 ,5,생사료(MP),100,,,,,,,00000006
3158,TP,221019,TP101906,F04_U01_O3158_D2022-10-19_L420_W0707_S3,420,707,C4,3000 ,5,생사료(MP),100,,,,,,,00000617
3159,TP,221019,TP101907,F04_U01_O3159_D2022-10-19_L340_W0395_S2,340,395,C5,3200 ,2,생사료(MP),100,,,,,,,00000006
3160,TP,221019,TP101908,F04_U01_O3160_D2022-10-19_L360_W0403_S2,360,403,C5,3200 ,2,생사료(MP),100,,,,,,,00000006
3161,TP,221019,TP101909,F04_U01_O3161_D2022-10-19_L355_W0437_S2,355,437,C5,3200 ,2,생사료(MP),100,,,,,,,00000618
3162,TP,221019,TP101910,F04_U01_O3162_D2022-10-19_L385_W0477_S2,385,477,F1,3500 ,2,생사료(MP),120,,,,,,,00000617
3163,TP,221019,TP101911,F04_U01_O3163_D2022-10-19_L355_W0358_S2,355,358,F1,3500 ,2,생사료(MP),120,,,,,,,00000617
