No,양식장,날짜,라벨,라벨2(어장_수조_샘플번호_날짜_길이_무게_사이즈),체장(mm),체중(g),수조번호,사육미수,일일폐사량,사료정보,일일 사료 급이량(KG),투약일자,약품명,투여량(ML 또는 L),투여단위,투여방법,기타사항,검출 병원체
88,OS,220704,OS070401,F01_U01_O0088_D2022-07-04_L420_W0749_S3,420,749,,,,,,,,,,,,000011
89,OS,220704,OS070402,F01_U01_O0089_D2022-07-04_L335_W0379_S2,335,379,,,,,,,,,,,,000007
90,OS,220704,OS070403,F01_U01_O0090_D2022-07-04_L325_W0295_S2,325,295,,,,,,,,,,,,000019
91,OS,220704,OS070404,F01_U01_O0091_D2022-07-04_L345_W0407_S2,345,407,,,,,,,,,,,,000006
92,OS,220704,OS070405,F01_U01_O0092_D2022-07-04_L370_W0573_S3,370,573,,,,,,,,,,,,071719
93,OS,220704,OS070406,F01_U01_O0093_D2022-07-04_L380_W0471_S2,380,471,,,,,,,,,,,,000017
94,OS,220704,OS070407,F01_U01_O0094_D2022-07-04_L360_W0443_S2,360,443,,,,,,,,,,,,000611
95,OS,220704,OS070408,F01_U01_O0095_D2022-07-04_L345_W0417_S2,345,417,,,,,,,,,,,,000011
96,OS,220704,OS070409,F01_U01_O0096_D2022-07-04_L320_W0359_S2,320,359,,,,,,,,,,,,000619
97,OS,220704,OS070410,F01_U01_O0097_D2022-07-04_L345_W0285_S2,345,285,,,,,,,,,,,,000021
98,OS,220704,OS070411,F01_U01_O0098_D2022-07-04_L425_W0644_S3,425,644,,,,,,,,,,,,000021
99,OS,220704,OS070412,F01_U01_O0099_D2022-07-04_L415_W0732_S3,415,732,,,,,,,,,,,,000011
100,OS,220704,OS070413,F01_U01_O0100_D2022-07-04_L355_W0504_S3,355,504,,,,,,,,,,,,060718
101,OS,220704,OS070414,F01_U01_O0101_D2022-07-04_L320_W0338_S2,320,338,,,,,,,,,,,,000007
102,OS,220704,OS070415,F01_U01_O0102_D2022-07-04_L340_W0228_S2,340,228,,,,,,,,,,,,060711
103,IC,220704,IC070401,F02_U01_O0103_D2022-07-04_L345_W0500_S2,345,500,F8,2750 ,5,생사료(MP),80,,,,,,,000021
104,IC,220704,IC070402,F02_U01_O0104_D2022-07-04_L380_W0673_S3,380,673,F8,2750 ,5,생사료(MP),80,,,,,,,000021
105,IC,220704,IC070403,F02_U01_O0105_D2022-07-04_L355_W0410_S2,355,410,F8,2750 ,5,생사료(MP),80,,,,,,,000021
106,IC,220704,IC070404,F02_U01_O0106_D2022-07-04_L330_W0312_S2,330,312,F8,2750 ,5,생사료(MP),80,,,,,,,000021
107,IC,220704,IC070405,F02_U01_O0107_D2022-07-04_L345_W0514_S3,345,514,F8,2750 ,5,생사료(MP),80,,,,,,,000017
108,IC,220704,IC070406,F02_U01_O0108_D2022-07-04_L280_W0240_S2,280,240,F8,2750 ,5,생사료(MP),80,,,,,,,000021
109,IC,220704,IC070407,F02_U01_O0109_D2022-07-04_L295_W0304_S2,295,304,F8,2750 ,5,생사료(MP),80,,,,,,,000021
110,IC,220704,IC070408,F02_U01_O0110_D2022-07-04_L345_W0460_S2,345,460,F8,2750 ,5,생사료(MP),80,,,,,,,000021
111,IC,220704,IC070409,F02_U01_O0111_D2022-07-04_L370_W0527_S3,370,527,F8,2750 ,5,생사료(MP),80,,,,,,,000021
112,IC,220704,IC070410,F02_U01_O0112_D2022-07-04_L370_W0520_S3,370,520,F8,2750 ,5,생사료(MP),80,,,,,,,000011
113,OS,220705,OS070501,F01_U01_O0113_D2022-07-05_L310_W0233_S2,310,233,,,,,,,,,,,,000021
114,OS,220705,OS070502,F01_U01_O0114_D2022-07-05_L300_W0379_S2,300,379,,,,,,,,,,,,000011
115,OS,220705,OS070503,F01_U01_O0115_D2022-07-05_L290_W0177_S1,290,177,,,,,,,,,,,,000021
116,OS,220705,OS070504,F01_U01_O0116_D2022-07-05_L330_W0263_S2,330,263,,,,,,,,,,,,000021
117,OS,220705,OS070505,F01_U01_O0117_D2022-07-05_L300_W0187_S1,300,187,,,,,,,,,,,,000021
118,OS,220705,OS070506,F01_U01_O0118_D2022-07-05_L260_W0130_S1,260,130,,,,,,,,,,,,000021
119,OS,220705,OS070507,F01_U01_O0119_D2022-07-05_L285_W0143_S1,285,143,,,,,,,,,,,,000021
120,OS,220705,OS070508,F01_U01_O0120_D2022-07-05_L295_W0210_S2,295,210,,,,,,,,,,,,000011
121,OS,220705,OS070509,F01_U01_O0121_D2022-07-05_L340_W0330_S2,340,330,,,,,,,,,,,,000021
122,OS,220705,OS070510,F01_U01_O0122_D2022-07-05_L270_W0156_S1,270,156,,,,,,,,,,,,000021
123,OS,220705,OS070511,F01_U01_O0123_D2022-07-05_L310_W0233_S2,310,233,,,,,,,,,,,,000006
124,OS,220705,OS070512,F01_U01_O0124_D2022-07-05_L305_W0324_S2,305,324,,,,,,,,,,,,000211
125,OS,220705,OS070513,F01_U01_O0125_D2022-07-05_L290_W0187_S1,290,187,,,,,,,,,,,,000021
126,OS,220705,OS070514,F01_U01_O0126_D2022-07-05_L325_W0361_S2,325,361,,,,,,,,,,,,000021
127,OS,220705,OS070515,F01_U01_O0127_D2022-07-05_L310_W0210_S2,310,210,,,,,,,,,,,,000021
128,OS,220705,OS070516,F01_U01_O0128_D2022-07-05_L275_W0147_S1,275,147,,,,,,,,,,,,000021
129,IC,220705,IC070501,F02_U01_O0129_D2022-07-05_L305_W0342_S2,305,342,신설동1,3120 ,10,생사료(MP),80,,,,,,,000021
130,IC,220705,IC070502,F02_U01_O0130_D2022-07-05_L280_W0265_S2,280,265,신설동1,3120 ,10,생사료(MP),80,,,,,,,000017
131,IC,220705,IC070503,F02_U01_O0131_D2022-07-05_L410_W0662_S3,410,662,신설동1,3120 ,10,생사료(MP),80,,,,,,,000613
132,IC,220705,IC070504,F02_U01_O0132_D2022-07-05_L295_W0311_S2,295,311,신설동1,3120 ,10,생사료(MP),80,,,,,,,000013
133,IC,220705,IC070505,F02_U01_O0133_D2022-07-05_L300_W0368_S2,300,368,신설동1,3120 ,10,생사료(MP),80,,,,,,,000021
134,IC,220705,IC070506,F02_U01_O0134_D2022-07-05_L275_W0230_S2,275,230,신설동1,3120 ,10,생사료(MP),80,,,,,,,000613
135,IC,220705,IC070507,F02_U01_O0135_D2022-07-05_L360_W0412_S2,360,412,신설동1,3120 ,10,생사료(MP),80,,,,,,,000006
136,IC,220705,IC070508,F02_U01_O0136_D2022-07-05_L415_W0718_S3,415,718,신설동1,3120 ,10,생사료(MP),80,,,,,,,000613
137,IC,220705,IC070509,F02_U01_O0137_D2022-07-05_L340_W0383_S2,340,383,신설동1,3120 ,10,생사료(MP),80,,,,,,,000613
138,IC,220705,IC070510,F02_U01_O0138_D2022-07-05_L390_W0730_S3,390,730,신설동1,3120 ,10,생사료(MP),80,,,,,,,000613
139,IC,220705,IC070511,F02_U01_O0139_D2022-07-05_L360_W0558_S3,360,558,신설동1,3120 ,10,생사료(MP),80,,,,,,,000013
140,IC,220705,IC070512,F02_U01_O0140_D2022-07-05_L355_W0518_S3,355,518,신설동1,3120 ,10,생사료(MP),80,,,,,,,000006
141,IC,220705,IC070513,F02_U01_O0141_D2022-07-05_L345_W0473_S2,345,473,신설동1,3120 ,10,생사료(MP),80,,,,,,,000013
142,IC,220705,IC070514,F02_U01_O0142_D2022-07-05_L340_W0382_S2,340,382,신설동1,3120 ,10,생사료(MP),80,,,,,,,000613
143,IC,220705,IC070515,F02_U01_O0143_D2022-07-05_L330_W0489_S2,330,489,신설동1,3120 ,10,생사료(MP),80,,,,,,,000019
144,IC,220705,IC070516,F02_U01_O0144_D2022-07-05_L305_W0276_S2,305,276,신설동1,3120 ,10,생사료(MP),80,,,,,,,000018
145,IC,220705,IC070517,F02_U01_O0145_D2022-07-05_L370_W0487_S2,370,487,신설동1,3120 ,10,생사료(MP),80,,,,,,,000613
146,HM,220705,HM070501,F03_U01_O0146_D2022-07-05_L265_W0216_S2,265,216,A5,3650 ,10,생사료(MP),80,,,,,,,000013
147,HM,220705,HM070502,F03_U01_O0147_D2022-07-05_L230_W0149_S2,230,149,A5,3650 ,10,생사료(MP),80,,,,,,,000021
148,HM,220705,HM070503,F03_U01_O0148_D2022-07-05_L240_W0173_S1,240,173,A5,3650 ,10,생사료(MP),80,,,,,,,000021
149,HM,220705,HM070504,F03_U01_O0149_D2022-07-05_L245_W0172_S1,245,172,A5,3650 ,10,생사료(MP),80,,,,,,,000021
150,HM,220705,HM070505,F03_U01_O0150_D2022-07-05_L235_W0176_S1,235,176,A5,3650 ,10,생사료(MP),80,,,,,,,000021
151,HM,220705,HM070506,F03_U01_O0151_D2022-07-05_L235_W0150_S1,235,150,A5,3650 ,10,생사료(MP),80,,,,,,,000013
152,HM,220705,HM070507,F03_U01_O0152_D2022-07-05_L230_W0161_S1,230,161,A5,3650 ,10,생사료(MP),80,,,,,,,000021
153,HM,220705,HM070508,F03_U01_O0153_D2022-07-05_L235_W0126_S1,235,126,A5,3650 ,10,생사료(MP),80,,,,,,,000021
154,HM,220705,HM070509,F03_U01_O0154_D2022-07-05_L235_W0127_S1,235,127,A5,3650 ,10,생사료(MP),80,,,,,,,000021
155,HM,220705,HM070510,F03_U01_O0155_D2022-07-05_L220_W0112_S1,220,112,A5,3650 ,10,생사료(MP),80,,,,,,,000011
156,HM,220705,HM070511,F03_U01_O0156_D2022-07-05_L235_W0136_S1,235,136,A5,3650 ,10,생사료(MP),80,,,,,,,000021
157,HM,220705,HM070512,F03_U01_O0157_D2022-07-05_L210_W0091_S1,210,91,A5,3650 ,10,생사료(MP),80,,,,,,,000021
158,HM,220705,HM070513,F03_U01_O0158_D2022-07-05_L230_W0119_S1,230,119,A5,3650 ,10,생사료(MP),80,,,,,,,000011
159,HM,220705,HM070514,F03_U01_O0159_D2022-07-05_L210_W0083_S1,210,83,A5,3650 ,10,생사료(MP),80,,,,,,,000013
160,HM,220705,HM070515,F03_U01_O0160_D2022-07-05_L160_W0030_S1,160,30,A5,3650 ,10,생사료(MP),80,,,,,,,000021
161,TP,220706,TP070601,F04_U01_O0161_D2022-07-06_L365_W0543_S3,365,543,A1,3500 ,1,생사료(MP),80,,,,,,,000021
162,TP,220706,TP070602,F04_U01_O0162_D2022-07-06_L405_W0735_S3,405,735,A2,3500 ,0,생사료(MP),80,,,,,,,000211
163,TP,220706,TP070603,F04_U01_O0163_D2022-07-06_L360_W0418_S2,360,418,A3,3500 ,2,생사료(MP),80,,,,,,,000019
164,TP,220706,TP070604,F04_U01_O0164_D2022-07-06_L345_W0409_S2,345,409,A4,3500 ,2,생사료(MP),80,,,,,,,000002
165,TP,220706,TP070605,F04_U01_O0165_D2022-07-06_L370_W0522_S3,370,522,A5,3500 ,1,생사료(MP),80,,,,,,,000021
166,TP,220706,TP070606,F04_U01_O0166_D2022-07-06_L350_W0396_S2,350,396,B1,3500 ,1,생사료(MP),80,,,,,,,000019
167,TP,220706,TP070607,F04_U01_O0167_D2022-07-06_L333_W0358_S2,333,358,B2,3500 ,2,생사료(MP),80,,,,,,,000219
168,TP,220706,TP070608,F04_U01_O0168_D2022-07-06_L315_W0320_S2,315,320,B3,3500 ,3,생사료(MP),80,,,,,,,000021
169,TP,220706,TP070609,F04_U01_O0169_D2022-07-06_L325_W0412_S2,325,412,B4,3500 ,1,생사료(MP),80,,,,,,,000019
170,TP,220706,TP070610,F04_U01_O0170_D2022-07-06_L345_W0414_S2,345,414,B5,3500 ,3,생사료(MP),80,,,,,,,000002
171,TP,220706,TP070611,F04_U01_O0171_D2022-07-06_L360_W0489_S2,360,489,B6,3500 ,3,생사료(MP),80,,,,,,,000021
172,TP,220706,TP070612,F04_U01_O0172_D2022-07-06_L345_W0336_S2,345,336,C1,3500 ,1,생사료(MP),80,,,,,,,000006
173,TP,220706,TP070613,F04_U01_O0173_D2022-07-06_L340_W0404_S2,340,404,C2,3500 ,0,생사료(MP),80,,,,,,,000021
174,TP,220706,TP070614,F04_U01_O0174_D2022-07-06_L345_W0401_S2,345,401,C3,3500 ,2,생사료(MP),80,,,,,,,000219
175,TP,220706,TP070615,F04_U01_O0175_D2022-07-06_L375_W0483_S2,375,483,C4,3500 ,0,생사료(MP),80,,,,,,,000021
176,TP,220706,TP070616,F04_U01_O0176_D2022-07-06_L330_W0300_S2,330,300,C5,3500 ,1,생사료(MP),80,,,,,,,000021
177,TP,220706,TP070617,F04_U01_O0177_D2022-07-06_L350_W0528_S3,350,528,C6,3500 ,0,생사료(MP),80,,,,,,,000021
178,IC,220706,IC070601,F02_U01_O0178_D2022-07-06_L310_W0151_S1,310,151,A4,1180 ,3,생사료(MP),50,,,,,,,000217
179,IC,220706,IC070602,F02_U01_O0179_D2022-07-06_L320_W0350_S2,320,350,A4,1180 ,3,생사료(MP),50,,,,,,,000217
180,IC,220706,IC070603,F02_U01_O0180_D2022-07-06_L310_W0178_S1,310,178,A4,1180 ,3,생사료(MP),50,,,,,,,000021
181,IC,220706,IC070604,F02_U01_O0181_D2022-07-06_L290_W0212_S2,290,212,A4,1180 ,3,생사료(MP),50,,,,,,,000002
182,IC,220706,IC070605,F02_U01_O0182_D2022-07-06_L320_W0350_S2,320,350,A4,1180 ,3,생사료(MP),50,,,,,,,000002
183,IC,220706,IC070606,F02_U01_O0183_D2022-07-06_L320_W0350_S2,320,350,A4,1180 ,3,생사료(MP),50,,,,,,,000213
184,IC,220706,IC070607,F02_U01_O0184_D2022-07-06_L360_W0457_S2,360,457,A4,1180 ,3,생사료(MP),50,,,,,,,000211
185,IC,220706,IC070608,F02_U01_O0185_D2022-07-06_L325_W0372_S2,325,372,A4,1180 ,3,생사료(MP),50,,,,,,,000018
186,IC,220706,IC070609,F02_U01_O0186_D2022-07-06_L340_W0360_S2,340,360,A4,1180 ,3,생사료(MP),50,,,,,,,000111
187,IC,220706,IC070610,F02_U01_O0187_D2022-07-06_L300_W0276_S2,300,276,A4,1180 ,3,생사료(MP),50,,,,,,,000219
188,HM,220706,HM070601,F03_U01_O0188_D2022-07-06_L245_W0172_S1,245,172,A12,6850 ,12,생사료(MP),100,,,,,,,000111
189,HM,220706,HM070602,F03_U01_O0189_D2022-07-06_L235_W0119_S1,235,119,A12,6850 ,12,생사료(MP),100,,,,,,,000021
190,HM,220706,HM070603,F03_U01_O0190_D2022-07-06_L235_W0144_S1,235,144,A12,6850 ,12,생사료(MP),100,,,,,,,000021
191,HM,220706,HM070604,F03_U01_O0191_D2022-07-06_L260_W0183_S1,260,183,A12,6850 ,12,생사료(MP),100,,,,,,,000017
192,HM,220706,HM070605,F03_U01_O0192_D2022-07-06_L220_W0105_S1,220,105,A12,6850 ,12,생사료(MP),100,,,,,,,000011
193,HM,220706,HM070606,F03_U01_O0193_D2022-07-06_L225_W0108_S1,225,108,A12,6850 ,12,생사료(MP),100,,,,,,,000017
194,HM,220706,HM070607,F03_U01_O0194_D2022-07-06_L270_W0203_S2,270,203,A12,6850 ,12,생사료(MP),100,,,,,,,000021
195,HM,220706,HM070608,F03_U01_O0195_D2022-07-06_L280_W0260_S1,280,260,A12,6850 ,12,생사료(MP),100,,,,,,,000021
196,HM,220706,HM070609,F03_U01_O0196_D2022-07-06_L240_W0136_S1,240,136,A12,6850 ,12,생사료(MP),100,,,,,,,000021
197,HM,220706,HM070610,F03_U01_O0197_D2022-07-06_L230_W0112_S1,230,112,A12,6850 ,12,생사료(MP),100,,,,,,,000021
198,HM,220706,HM070611,F03_U01_O0198_D2022-07-06_L230_W0124_S1,230,124,A12,6850 ,12,생사료(MP),100,,,,,,,000021
199,HM,220706,HM070612,F03_U01_O0199_D2022-07-06_L250_W0174_S1,250,174,A12,6850 ,12,생사료(MP),100,,,,,,,000021
200,HM,220706,HM070613,F03_U01_O0200_D2022-07-06_L230_W0113_S1,230,113,A12,6850 ,12,생사료(MP),100,,,,,,,000011
201,HM,220706,HM070614,F03_U01_O0201_D2022-07-06_L250_W0155_S1,250,155,A12,6850 ,12,생사료(MP),100,,,,,,,000011
202,HM,220706,HM070615,F03_U01_O0202_D2022-07-06_L245_W0156_S1,245,156,A12,6850 ,12,생사료(MP),100,,,,,,,000021
203,HM,220706,HM070616,F03_U01_O0203_D2022-07-06_L235_W0143_S1,235,143,A12,6850 ,12,생사료(MP),100,,,,,,,000011
204,HM,220706,HM070617,F03_U01_O0204_D2022-07-06_L220_W0102_S1,220,102,A12,6850 ,12,생사료(MP),100,,,,,,,000021
205,HM,220706,HM070618,F03_U01_O0205_D2022-07-06_L225_W0100_S1,225,100,A12,6850 ,12,생사료(MP),100,,,,,,,000021
206,HM,220706,HM070619,F03_U01_O0206_D2022-07-06_L225_W0122_S1,225,122,A12,6850 ,12,생사료(MP),100,,,,,,,000011
207,HM,220706,HM070620,F03_U01_O0207_D2022-07-06_L250_W0172_S1,250,172,A12,6850 ,12,생사료(MP),100,,,,,,,000021
208,HM,220706,HM070621,F03_U01_O0208_D2022-07-06_L190_W0069_S1,190,69,A12,6850 ,12,생사료(MP),100,,,,,,,000011
209,HM,220707,HM070701,F03_U01_O0209_D2022-07-07_L240_W0139_S1,240,139,A3,9650 ,22,생사료(MP),140,,,,,,,000021
210,HM,220707,HM070702,F03_U01_O0210_D2022-07-07_L225_W0125_S1,225,125,A3,9650 ,22,생사료(MP),140,,,,,,,000021
211,HM,220707,HM070703,F03_U01_O0211_D2022-07-07_L265_W0220_S1,265,220,A3,9650 ,22,생사료(MP),140,,,,,,,000014
212,HM,220707,HM070704,F03_U01_O0212_D2022-07-07_L215_W0093_S1,215,93,A3,9650 ,22,생사료(MP),140,,,,,,,000011
213,HM,220707,HM070705,F03_U01_O0213_D2022-07-07_L260_W0168_S1,260,168,A3,9650 ,22,생사료(MP),140,,,,,,,000021
214,HM,220707,HM070706,F03_U01_O0214_D2022-07-07_L215_W0107_S1,215,107,A3,9650 ,22,생사료(MP),140,,,,,,,000011
215,HM,220707,HM070707,F03_U01_O0215_D2022-07-07_L240_W0156_S1,240,156,A3,9650 ,22,생사료(MP),140,,,,,,,000014
216,HM,220707,HM070708,F03_U01_O0216_D2022-07-07_L240_W0141_S1,240,141,A3,9650 ,22,생사료(MP),140,,,,,,,000011
217,HM,220707,HM070709,F03_U01_O0217_D2022-07-07_L240_W0137_S1,240,137,A3,9650 ,22,생사료(MP),140,,,,,,,000021
218,HM,220707,HM070710,F03_U01_O0218_D2022-07-07_L235_W0145_S1,235,145,A3,9650 ,22,생사료(MP),140,,,,,,,000021
219,HM,220707,HM070711,F03_U01_O0219_D2022-07-07_L250_W0154_S1,250,154,A3,9650 ,22,생사료(MP),140,,,,,,,000021
220,HM,220707,HM070712,F03_U01_O0220_D2022-07-07_L260_W0195_S1,260,195,A3,9650 ,22,생사료(MP),140,,,,,,,000021
221,HM,220707,HM070713,F03_U01_O0221_D2022-07-07_L225_W0106_S1,225,106,A3,9650 ,22,생사료(MP),140,,,,,,,000021
222,HM,220707,HM070714,F03_U01_O0222_D2022-07-07_L245_W0149_S1,245,149,A3,9650 ,22,생사료(MP),140,,,,,,,000021
223,HM,220707,HM070715,F03_U01_O0223_D2022-07-07_L235_W0135_S1,235,135,A3,9650 ,22,생사료(MP),140,,,,,,,000017
224,HM,220707,HM070716,F03_U01_O0224_D2022-07-07_L255_W0138_S1,255,138,A3,9650 ,22,생사료(MP),140,,,,,,,000021
225,HM,220707,HM070717,F03_U01_O0225_D2022-07-07_L250_W0163_S1,250,163,A3,9650 ,22,생사료(MP),140,,,,,,,000017
226,HM,220707,HM070718,F03_U01_O0224_D2022-07-07_L240_W0153_S1,240,153,A3,9650 ,22,생사료(MP),140,,,,,,,000021
227,HM,220707,HM070719,F03_U01_O0225_D2022-07-07_L225_W0123_S1,225,123,A3,9650 ,22,생사료(MP),140,,,,,,,000011
228,HM,220707,HM070720,F03_U01_O0226_D2022-07-07_L250_W0182_S1,250,182,A3,9650 ,22,생사료(MP),140,,,,,,,000021
229,HM,220707,HM070721,F03_U01_O0227_D2022-07-07_L240_W0145_S1,240,145,A3,9650 ,22,생사료(MP),140,,,,,,,000017
230,HM,220707,HM070722,F03_U01_O0228_D2022-07-07_L270_W0206_S2,270,206,A3,9650 ,22,생사료(MP),140,,,,,,,000011
231,HM,220707,HM070723,F03_U01_O0229_D2022-07-07_L245_W0166_S1,245,166,A3,9650 ,22,생사료(MP),140,,,,,,,000011
232,HM,220707,HM070724,F03_U01_O0230_D2022-07-07_L250_W0184_S1,250,184,A3,9650 ,22,생사료(MP),140,,,,,,,000011
233,HM,220707,HM070725,F03_U01_O0231_D2022-07-07_L260_W0188_S1,260,188,A3,9650 ,22,생사료(MP),140,,,,,,,000021
234,TP,220707,TP070701,F04_U01_O0232_D2022-07-07_L300_W0212_S2,300,212,A1,3500 ,1,생사료(MP),80,,,,,,,000021
235,TP,220707,TP070702,F04_U01_O0233_D2022-07-07_L325_W0310_S2,325,310,A2,3500 ,1,생사료(MP),80,,,,,,,000021
236,TP,220707,TP070703,F04_U01_O0234_D2022-07-07_L340_W0209_S2,340,209,A3,3500 ,1,생사료(MP),80,,,,,,,000006
237,TP,220707,TP070704,F04_U01_O0235_D2022-07-07_L340_W0287_S2,340,287,A4,3500 ,2,생사료(MP),80,,,,,,,000019
238,TP,220707,TP070705,F04_U01_O0236_D2022-07-07_L325_W0353_S2,325,353,A5,3500 ,0,생사료(MP),80,,,,,,,000021
239,TP,220707,TP070706,F04_U01_O0237_D2022-07-07_L270_W0179_S1,270,179,B1,3500 ,0,생사료(MP),80,,,,,,,001718
240,TP,220707,TP070707,F04_U01_O0238_D2022-07-07_L305_W0240_S2,305,240,B2,3500 ,0,생사료(MP),80,,,,,,,000021
241,TP,220707,TP070708,F04_U01_O0239_D2022-07-07_L345_W0359_S2,345,359,B3,3500 ,0,생사료(MP),80,,,,,,,000021
242,TP,220707,TP070709,F04_U01_O0240_D2022-07-07_L290_W0210_S2,290,210,B4,3500 ,0,생사료(MP),80,,,,,,,000021
243,TP,220707,TP070710,F04_U01_O0241_D2022-07-07_L320_W0254_S2,320,254,B5,3500 ,0,생사료(MP),80,,,,,,,000021
244,TP,220707,TP070711,F04_U01_O0242_D2022-07-07_L375_W0550_S3,375,550,B6,3500 ,2,생사료(MP),80,,,,,,,000019
245,TP,220707,TP070712,F04_U01_O0243_D2022-07-07_L285_W0368_S2,285,368,C1,3500 ,2,생사료(MP),80,,,,,,,000011
246,TP,220707,TP070713,F04_U01_O0244_D2022-07-07_L135_W0022_S1,135,22,C2,3500 ,1,생사료(MP),80,,,,,,,000021
247,TP,220707,TP070714,F04_U01_O0245_D2022-07-07_L125_W0015_S1,125,15,C3,3500 ,2,생사료(MP),80,,,,,,,000021
248,TP,220707,TP070715,F04_U01_O0246_D2022-07-07_L140_W0023_S1,140,23,C4,3500 ,0,생사료(MP),80,,,,,,,000021
249,TP,220707,TP070716,F04_U01_O0247_D2022-07-07_L150_W0030_S1,150,30,C5,3500 ,1,생사료(MP),80,,,,,,,000021
250,IC,220707,IC070701,F02_U01_O0248_D2022-07-07_L295_W0298_S2,295,298,B1,1620 ,0,생사료(MP),50,,,,,,,000217
251,IC,220707,IC070702,F02_U01_O0249_D2022-07-07_L310_W0392_S2,310,392,B1,1620 ,0,생사료(MP),50,,,,,,,000021
252,IC,220707,IC070703,F02_U01_O0250_D2022-07-07_L365_W0580_S3,365,580,B1,1620 ,0,생사료(MP),50,,,,,,,000218
253,IC,220707,IC070704,F02_U01_O0251_D2022-07-07_L320_W0410_S2,320,410,B1,1620 ,0,생사료(MP),50,,,,,,,000021
254,IC,220707,IC070705,F02_U01_O0252_D2022-07-07_L305_W0320_S2,305,320,B1,1620 ,0,생사료(MP),50,,,,,,,000002
255,IC,220707,IC070706,F02_U01_O0253_D2022-07-07_L375_W0360_S3,375,630,B1,1620 ,0,생사료(MP),50,,,,,,,000021
256,IC,220707,IC070707,F02_U01_O0254_D2022-07-07_L355_W0487_S2,355,487,B1,1620 ,0,생사료(MP),50,,,,,,,000002
257,IC,220707,IC070708,F02_U01_O0255_D2022-07-07_L335_W0460_S2,335,460,B1,1620 ,0,생사료(MP),50,,,,,,,000021
258,IC,220707,IC070709,F02_U01_O0256_D2022-07-07_L305_W0376_S2,305,376,B1,1620 ,0,생사료(MP),50,,,,,,,000018
1,OS,220711,OS071101,F01_U01_O0001_D2022-07-11_L330_W483_S2,330,483,E1,3500 ,3,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000021
2,OS,220711,OS071102,F01_U01_O0002_D2022-07-11_L375_W587_S3,375,587,E2,3500 ,1,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000021
3,OS,220711,OS071103,F01_U01_O0003_D2022-07-11_L330_W392_S2,330,392,E3,3500 ,0,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000021
4,OS,220711,OS071104,F01_U01_O0004_D2022-07-11_L360_W394_S2,360,394,E5,3500 ,3,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000021
5,OS,220711,OS071105,F01_U01_O0005_D2022-07-11_L325_W330_S2,325,330,B1,3500 ,2,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000219
6,OS,220711,OS071106,F01_U01_O0006_D2022-07-11_L340_W326_S2,340,326,B2,3500 ,4,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000021
7,OS,220711,OS071107,F01_U01_O0007_D2022-07-11_L375_W408_S2,375,408,B3,3500 ,1,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000618
8,OS,220711,OS071108,F01_U01_O0008_D2022-07-11_L300_W228_S2,300,228,B4,3500 ,2,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000619
9,OS,220711,OS071109,F01_U01_O0009_D2022-07-11_L330_W359_S2,330,359,F1,3500 ,2,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000006
10,OS,220711,OS071110,F01_U01_O0010_D2022-07-11_L300_W267_S2,300,267,F2,3500 ,1,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000021
11,OS,220711,OS071111,F01_U01_O0011_D2022-07-11_L310_W353_S2,310,353,F3,3500 ,1,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000021
12,OS,220711,OS071112,F01_U01_O0012_D2022-07-11_L315_W270_S2,315,270,F4,3500 ,2,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000021
13,OS,220711,OS071113,F01_U01_O0013_D2022-07-11_L320_W350_S2,320,350,F5,3500 ,0,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000021
14,OS,220711,OS071114,F01_U01_O0014_D2022-07-11_L310_W186_S1,310,186,F6,3500 ,0,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000021
15,OS,220711,OS071115,F01_U01_O0015_D2022-07-11_L295_W222_S2,295,222,F7,3500 ,1,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000206
16,OS,220711,OS071116,F01_U01_O0016_D2022-07-11_L405_W745_S3,405,745,F8,3500 ,2,생사료(MP),,2022-07-11,아목사실린,0.4,ml/kg,근육주사,,00000206
17,IC,220711,IC071101,F02_U01_O0017_D2022-07-11_L420_W833_S3,420,833,해올래3,3330 ,8,생사료(MP),80,,,,,,,00000021
18,IC,220711,IC071102,F02_U01_O0018_D2022-07-11_L400_W740_S3,400,740,해올래3,3330 ,8,생사료(MP),80,,,,,,,00000013
19,IC,220711,IC071103,F02_U01_O0019_D2022-07-11_L315_W366_S2,315,366,해올래3,3330 ,8,생사료(MP),80,,,,,,,00000013
